id	subject	day	starttime	length	teacher	group	room	period	experiod	inweek	exweek	exclass	realweeks	equipment
2997068	Arbetstid	Fre	0730	450	JS							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997168	Arbetstid	Fre	0730	360	ML							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997009	Arbetstid	Fre	0745	495	FS							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2996809	Arbetstid	Fre	0800	420	JH							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2996844	Arbetstid	Fre	0800	300	PCG							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2996859	Arbetstid	Fre	0800	340	HO							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2996875	Arbetstid	Fre	0800	340	JW							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2996898	Arbetstid	Fre	0800	360	ZC							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2996979	Arbetstid	Fre	0800	510	GC							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2996999	Support	Fre	0800	75	GC							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997018	Arbetstid	Fre	0800	420	SAN							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997020	Arbetstid	Fre	0800	480	KM							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997043	Arbetstid	Fre	0800	385	TP							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997057	Arbetstid	Fre	0800	285	TA							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997079	Arbetstid	Fre	0800	420	SN							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997080	Arbetstid	Fre	0800	240	SzF							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997087	Arbetstid	Fre	0800	330	SL							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
